AuthID,Author
13415,"Arellano-Santoyo, Hugo"
14536,"Arensburg, B."
6278,"Arensburger, Peter"
17113,"Arfaoui, S."
2790,"Argenziano, Rossella"
8395,"Argo, M. K."
11084,"Argon, Alice L."
17114,"Arguin, J-F."
25934,"Arguin, J. -F."
25137,"Arguin, J.-F."
3728,"Arguin, Martin"
24770,"Argyropoulos, S."
11237,"Argüelles-Tico, Araceli"
10064,"Ariafard, Alireza"
15025,"Arias, Dylan H."
8134,"Arias, Tomás"
15631,"Aribisala, Benjamin"
27057,"Arichi, Tomoki"
488,"Ariely, Dan"
17115,"Arik, E."
17116,"Arik, M."
8905,"Ariyananda, Lushanti De Zoysa"
2341,"Arkhipova, Irina"
23855,"Arking, Dan E."
3412,"Arkus, Natalie"
8058,"Arlotta, Paola"
25602,"Armadans, R. Caminal"
12556,"Armata, Ioanna A."
12561,"Armatas, Andreas A."
17117,"Armbruster, A. J."
2964,"Armitage, David"
8710,"Armitage, David R."
4731,"Arms, Caroline"
188,"Arms, K. E."
16345,"Armstrong, B."
26243,"Armstrong, Ian"
8931,"Armstrong, Jane"
15630,"Armstrong, Nicola J."
151,"Armstrong, R."
26769,"Armstrong, Scott A"
17118,"Arnaez, O."
24771,"Arnal, V."
934,"Arnan, Xavier"
23922,"Arnar, David O."
20985,"Arnaud, Keith A."
20437,"Arnaud, N."
17119,"Arnault, C."
27107,"Arneth, A."
3231,"Arno, Peter S."
14777,"Arnold, A. S."
11841,"Arnold, Allison S."
10339,"Arnold, Brian John"
5041,"Arnold, Christian"
1353,"Arnold, Craig B."
23702,"Arnold, F."
25138,"Arnold, H."
15070,"Arnold, K."
14009,"Arnold, Katrin"
8870,"Arnold, Konstantin"
20782,"Arnold, Nathan P."
22690,"Arnold, Nikita"
9645,"Arnold, Stevan J."
22024,"Arnold, Steve R."
2536,"Aron, Emily"
26997,"Aronow, Bruce"
10776,"Aronzon, Dina"
12970,"Arora, Manish"
25139,"Arratia, M."
3501,"Arregi, Karlos"
20219,"Arrow, K."
329,"Arroyo, C."
16273,"Arruabarrena, Agustin"
6437,"Arruda, Heather T"
24545,"Arslan, Alan A."
25140,"Arslan, O."
17120,"Artamonov, A."
5089,"Artavanis-Tsakonas, Katerina"
16877,"Artavanis-Tsakonas, Spyros"
982,"Artaxo, P."
3275,"Artegiani, A."
8980,"Arthanari, Haribabu"
11262,"Arthur, J. Simon C."
22355,"Arthur, Wallace"
8868,"Artimo, Panu"
17121,"Artoni, G."
5904,"Artyomov, Maxim N."
23349,"Artz, Richard S."
26472,"Arumugam, Paritha"
17122,"Arutinov, D."
8675,"Arvanites, Anthony"
21837,"Arvanites, Anthony C"
8242,"Arvanites, Anthony C."
9957,"Arvidson, R. E."
1852,"Arvidson, Raymond E."
12317,"Arvidsson, Martin"
1413,"Arzanlou, Mahdi"
20254,"Asad, Asad Lugman"
25657,"Asai, M."
17123,"Asai, S."
2807,"Asani, Ali"
12442,"Asara, John M."
25141,"Asbah, N."
22652,"Asboth, L."
17124,"Asfandiyarov, R."
20336,"Asgeirsson, D. J."
5351,"Ashburner, Michael"
10960,"Ashby, M. L. N."
22697,"Ashby, M.F."
11026,"Ashby, Matthew L N"
21530,"Ashby, Michael F."
3571,"Ashenfelter, Orley"
6534,"Asher, S. A."
6536,"Asher, Sanford A."
25142,"Ashkenazi, A."
3456,"Ashkenazy, Yosef"
16771,"Ashley, J. W."
4220,"Ashley, James W."
21742,"Ashoori, R.C."
5539,"Ashton, Peter Shaw"
12255,"Asiimwe, Anita"
2899,"Asimow, P.D."
2918,"Asimow, Paul D."
2926,"Asimow, Pauld D."
17125,"Ask, S."
14739,"Askarov, Aslan"
14719,"Askenazy, Philippe"
13091,"Aslam, M. Imran"
1295,"Asmatulu, Ramazan"
24107,"Asmelash, Aida"
2084,"Asmerom, Yemane"
24772,"Asner, D."
13509,"Asner, Gregory P."
12465,"Aso, Ester"
9506,"Asogun, Danny A."
7678,"Aspect, Alain"
4388,"Aspnes, James"
6553,"Aspuru-Guzik, Alan"
7992,"Aspuru-Guzik, Alán"
17127,"Asquith, L."
17128,"Assamagan, K."
10868,"Assef, Roberto J."
23985,"Asselbergs, Folkert W."
25143,"Astalos, R."
9554,"Astarita, Jillian Leigh"
17129,"Astbury, A."
24386,"Aster, Jon C"
11464,"Astier, P."
20567,"Aston, D."
12472,"Astudillo, Aurora"
17130,"Astvatsatourov, A."
6560,"Atahan, Sule"
7475,"Atahan-Evrenk, Sule"
10715,"Atala, Marcos"
11349,"Ataman, Bulent"
26674,"Atanasio, Amanda"
23822,"Atassi, Nazem"
21055,"Atchadé, Yves F."
