RecordIdentifier,Author,authID
oai:dash.harvard.edu:1/2585485,"Emaus, Aina",472
oai:dash.harvard.edu:1/2579905,"Emaus, Aina",472
oai:dash.harvard.edu:1/2581622,"Emaus, Aina",472
oai:dash.harvard.edu:1/3008263,"Emaus, Aina",472
oai:dash.harvard.edu:1/3008264,"Emaus, Aina",472
oai:dash.harvard.edu:1/4262996,"Emaus, Aina",472
oai:dash.harvard.edu:1/13596731,"Emeliyanov, D.",17740
oai:dash.harvard.edu:1/11743703,"Emerich, Dwaine",10323
oai:dash.harvard.edu:1/12717377,"Emerman, Amy B.",16466
oai:dash.harvard.edu:1/5346654,"Emery Thompson, M",7339
oai:dash.harvard.edu:1/8306243,"Emery Thompson, Melissa",7341
oai:dash.harvard.edu:1/13579263,"Emery, S.",20563
oai:dash.harvard.edu:1/13579264,"Emery, S.",20563
oai:dash.harvard.edu:1/13579262,"Emery, S.",20563
oai:dash.harvard.edu:1/13579267,"Emery, S.",20563
oai:dash.harvard.edu:1/13579265,"Emery, S.",20563
oai:dash.harvard.edu:1/13579266,"Emery, S.",20563
oai:dash.harvard.edu:1/13579268,"Emery, S.",20563
oai:dash.harvard.edu:1/11829051,"Emes, Richard D",9799
oai:dash.harvard.edu:1/13515595,"Emilsson, Valur",20264
oai:dash.harvard.edu:1/14065318,"Emilsson, Valur",20264
oai:dash.harvard.edu:1/12724030,"Eminli, Sarah",16634
oai:dash.harvard.edu:1/12712839,"Emlen, Stephen T.",16126
oai:dash.harvard.edu:1/13454626,"Emmett, Matthew J.",21815
oai:dash.harvard.edu:1/12152883,"Emmons, Karen M.",14453
oai:dash.harvard.edu:1/11957016,"Emmons, L. K.",13878
oai:dash.harvard.edu:1/14121824,"Emmons, Louisa",23528
oai:dash.harvard.edu:1/3716277,"Emmons, Louisa K.",4033
oai:dash.harvard.edu:1/14061860,"Emmons, Louisa K.",4033
oai:dash.harvard.edu:1/3224722,"Emonet, Thierry",2630
oai:dash.harvard.edu:1/11688765,"Emonet, Thierry",2630
oai:dash.harvard.edu:1/13031959,"Emonet, Thierry",2630
oai:dash.harvard.edu:1/11829463,"Emonts, Bjorn",10866
oai:dash.harvard.edu:1/12717370,"Emori, Megan M",16391
oai:dash.harvard.edu:1/11717562,"Emrich, Scott J.",11815
oai:dash.harvard.edu:1/12406899,"Emsell, Louise",15685
oai:dash.harvard.edu:1/10423836,"Emsley, Jason G.",9285
oai:dash.harvard.edu:1/4339935,"Endl, M.",5122
oai:dash.harvard.edu:1/4454678,"Endoh, Mitsuhiro",5985
oai:dash.harvard.edu:1/3425913,"Endress, Ansgar",3377
oai:dash.harvard.edu:1/14034188,"Endress, P. K.",23232
oai:dash.harvard.edu:1/11708548,"Engblom, Camilla",11342
oai:dash.harvard.edu:1/13479090,"Engelhard, Mark H.",21074
oai:dash.harvard.edu:1/3124121,"Engell, Andrew D.",2154
oai:dash.harvard.edu:1/2757547,"Engell, James",1102
oai:dash.harvard.edu:1/2689348,"Engell, James",1102
oai:dash.harvard.edu:1/3354158,"Engell, James",1102
oai:dash.harvard.edu:1/3355448,"Engell, James",1102
oai:dash.harvard.edu:1/3355447,"Engell, James",1102
oai:dash.harvard.edu:1/3372363,"Engell, James",1102
oai:dash.harvard.edu:1/3372362,"Engell, James",1102
oai:dash.harvard.edu:1/4783767,"Engell, James",1102
oai:dash.harvard.edu:1/8492407,"Engell, James",1102
oai:dash.harvard.edu:1/11870370,"Engell, James",1102
oai:dash.harvard.edu:1/12668185,"Engell, James",1102
oai:dash.harvard.edu:1/14096360,"Engell, James",1102
oai:dash.harvard.edu:1/14085979,"Engell, James",1102
oai:dash.harvard.edu:1/12785788,"Engelman, Alan",19986
oai:dash.harvard.edu:1/13581010,"Engelman, Alan",19986
oai:dash.harvard.edu:1/13596731,"Engelmann, R.",17741
oai:dash.harvard.edu:1/11306177,"Engelstädter, Jan",10457
oai:dash.harvard.edu:1/12249600,"Engemann, Denis A.",14651
oai:dash.harvard.edu:1/11130434,"Engert, Florian",7419
oai:dash.harvard.edu:1/11732119,"Engert, Florian",7419
oai:dash.harvard.edu:1/11315420,"Engert, Florian",7419
oai:dash.harvard.edu:1/11315412,"Engert, Florian",7419
oai:dash.harvard.edu:1/11639550,"Engert, Florian",7419
oai:dash.harvard.edu:1/11204671,"Engert, Florian",7419
oai:dash.harvard.edu:1/11190325,"Engert, Florian",7419
oai:dash.harvard.edu:1/11222701,"Engert, Florian",7419
oai:dash.harvard.edu:1/13064709,"Engert, Florian",7419
oai:dash.harvard.edu:1/11708607,"Engert, Florian",7419
oai:dash.harvard.edu:1/12152904,"Engert, Florian",7419
oai:dash.harvard.edu:1/13347493,"Engert, Florian",7419
oai:dash.harvard.edu:1/11879747,"Engin, Feyza",13473
oai:dash.harvard.edu:1/13596731,"Engl, A.",17742
oai:dash.harvard.edu:1/13581031,"England, Eleina",22217
oai:dash.harvard.edu:1/8253505,"Englund, Dirk",7842
oai:dash.harvard.edu:1/11870338,"Englund, Dirk E.",11948
oai:dash.harvard.edu:1/12785789,"Engreitz, Jesse",19994
oai:dash.harvard.edu:1/11717549,"Enns, Caroline",11744
oai:dash.harvard.edu:1/4268293,"Enoch, Melissa",4703
oai:dash.harvard.edu:1/11738409,"Enquist, B. J.",10109
oai:dash.harvard.edu:1/12274540,"Enriquez, Miriam M.",14599
oai:dash.harvard.edu:1/13347410,"Enterlein, Sven",21280
oai:dash.harvard.edu:1/3128692,"Epel, Elissa S.",2179
oai:dash.harvard.edu:1/13596731,"Epp, B.",17743
oai:dash.harvard.edu:1/12406533,"Epperson, Francine",15332
oai:dash.harvard.edu:1/13596731,"Eppig, A.",17744
oai:dash.harvard.edu:1/9273168,"Epstein, Alexander K.",8470
oai:dash.harvard.edu:1/9121284,"Epstein, Alexander K.",8470
oai:dash.harvard.edu:1/13362672,"Epstein, Charles",21441
oai:dash.harvard.edu:1/3322248,"Epstein, David",2998
oai:dash.harvard.edu:1/12992309,"Epstein, Ervin H., Jr.",20750
oai:dash.harvard.edu:1/12967842,"Epstein, Larry G.",20315
